country_code,country_name,pattern,allowed_letters,lat,lng,country_name_en
RU,Россия,A000AA,ABEKMHOPCTYX,61.5240,105.3188,Russia
UA,Украина,AA0000AA,ABCEHIKMOPTX,48.3794,31.1656,Ukraine
BY,Беларусь,0000AA-0,ABCEHIKMOPTX,53.7098,27.9534,Belarus
KZ,Казахстан,000AAA00,ABCDEFGHIJKLMNOPQRSTUVWXYZ,48.0196,66.9237,Kazakhstan
UZ,Узбекистан,00A000AA,ABCDEFGHJKLMNOPQRSTUVWXYZ,41.3775,64.5853,Uzbekistan
GE,Грузия,AA-000-AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,42.3154,43.3569,Georgia
AM,Армения,00-AA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,40.0691,45.0382,Armenia
AZ,Азербайджан,00-AA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,40.1431,47.5769,Azerbaijan
DE,Германия,AAA AA 000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,51.1657,10.4515,Germany
FR,Франция,AA-000-AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,46.2276,2.2137,France
IT,Италия,AA000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,41.8719,12.5674,Italy
ES,Испания,0000AAA,BCDFGHJKLMNPRSTVWXYZ,40.4637,-3.7492,Spain
PT,Португалия,AA-00-AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,39.3999,-8.2245,Portugal
NL,Нидерланды,AA-000-A,ABCDEFGHIJKLMNOPQRSTUVWXYZ,52.1326,5.2913,Netherlands
BE,Бельгия,0-AAA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,50.5039,4.4699,Belgium
CH,Швейцария,AA000000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,46.8182,8.2275,Switzerland
AT,Австрия,A-000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,47.5162,14.5501,Austria
PL,Польша,AA000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,51.9194,19.1451,Poland
CZ,Чехия,0A00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,49.8175,15.4730,Czech Republic
SK,Словакия,AA000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,48.6690,19.6990,Slovakia
HU,Венгрия,AAA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,47.1625,19.5033,Hungary
RO,Румыния,AA00AAA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,45.9432,24.9668,Romania
BG,Болгария,A000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,42.7339,25.4858,Bulgaria
GR,Греция,AAA-0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,39.0742,21.8243,Greece
GB,Великобритания,AA00AAA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,55.3781,-3.4360,United Kingdom
IE,Ирландия,00-AA-00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,53.4129,-8.2439,Ireland
NO,Норвегия,AA00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,60.4720,8.4689,Norway
SE,Швеция,AAA000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,60.1282,18.6435,Sweden
FI,Финляндия,AAA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,61.9241,25.7482,Finland
DK,Дания,AA00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,56.2639,9.5018,Denmark
IS,Исландия,AA000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,64.9631,-19.0208,Iceland
US,США,AAA0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,37.0902,-95.7129,USA
CA,Канада,AAA000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,56.1304,-106.3468,Canada
MX,Мексика,AAA-000-A,ABCDEFGHIJKLMNOPQRSTUVWXYZ,23.6345,-102.5528,Mexico
BR,Бразилия,AAA0A00,ABCDEFGHIJKLMNOPQRSTUVWXYZ,-14.2350,-51.9253,Brazil
AR,Аргентина,AA000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,-38.4161,-63.6167,Argentina
CL,Чили,AA-BB-00,ABCDEFGHIJKLMNOPQRSTUVWXYZ,-35.6751,-71.5430,Chile
CO,Колумбия,AAA000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,4.5709,-74.2973,Colombia
PE,Перу,AAA-000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,-9.1900,-75.0152,Peru
CN,Китай,A00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,35.8617,104.1954,China
JP,Япония,000A00,ABCDEFGHIJKLMNOPQRSTUVWXYZ,36.2048,138.2529,Japan
KR,Южная Корея,00A0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,35.9078,127.7669,South Korea
IN,Индия,AA00AA0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,20.5937,78.9629,India
TH,Таиланд,AA0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,15.8700,100.9925,Thailand
VN,Вьетнам,00A-00000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,14.0583,108.2772,Vietnam
ID,Индонезия,A0000AA,ABCDEFGHIJKLMNOPQRSTUVWXYZ,-0.7893,113.9213,Indonesia
MY,Малайзия,AAA0000,ABCDEFGHIJKLMNOPQRSTUVWXYZ,4.2105,101.9758,Malaysia
